,text,id,period,date,party,redner_id,discussion_title,name
0,Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Üblicherweise beschäftigt sich der Europäische Rat im März immer mit der wirtschaftlichen Entwicklung und Lage in Europa,ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
1, Das wird er auch in diesem Jahr tun,ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
2," Aber genauso wie beim Europäischen Rat im März vergangenen Jahres, als Europa am Beginn einer weltumspannenden Pandemie stand, deren Wucht uns damals allen völlig neu war, eine Pandemie von ungeahntem Ausmaß, zeigt die Tatsache, dass wir wieder in digitalem Format tagen werden, dass die Pandemie leider bei Weitem noch nicht überwunden ist",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
3, Die Fallzahlen steigen europaweit wieder rapide an,ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
4," Ich ermuntere durchaus alle, einmal zu schauen, was in unseren Nachbarländern so los ist, wenn wir über die Lage bei uns debattieren",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
5," Das zeigt, dass wir hier kein spezielles deutsches Phänomen beobachten, sondern dass wir doch sehr ähnliche Entwicklungen in ganz Europa haben",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
6, Die Zahlen steigen also europaweit wieder rapide an,ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
7," Mehr als eine halbe Million Menschen haben in der Europäischen Union bislang ihr Leben verloren, und der wirtschaftliche Schaden ist immens",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
8," Ich will daran erinnern – das ist nicht ganz so weit zurück in der Geschichte –, dass wir heute vor 14 Jahren, am 25",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
9," März 2007, in Berlin, auch unter deutscher Ratspräsidentschaft, im Zeughaus die Erklärung unterschrieben haben, die dann zum Lissabonner Vertrag geführt hat, und damals bekannt haben, dass wir Bürgerinnen und Bürger der Europäischen Union zu unserem Glück vereint sind",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
10," Bei allen Beschwerlichkeiten glaube ich, dass sich in der Pandemie wieder gezeigt hat, dass es gut ist, dass wir diese Europäische Union haben; denn wenn wir uns die protektionistischen Tendenzen und die Weltlage betrachten, dann, glaube ich, war es richtig, dass wir in der deutschen Ratspräsidentschaft im zweiten Halbjahr 2020 die Weichen gestellt haben für wichtige gemeinsame europäische Vorgehensweisen",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
11, Das gilt erstens ganz besonders auch für die wirtschaftliche Lage,ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
12," Der europäische Resilienzfonds, der Europäische Aufbaufonds, ist ein nie dagewesener Fonds",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
13," Damit stellen die Mitgliedstaaten die Weichen für ein digitales, klimafreundliches und damit auch krisenfestes zukünftiges europäisches Wachstum",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
14, Hier im Deutschen Bundestag steht heute die wichtige Entscheidung über die Ratifizierung des Eigenmittelbeschlusses an,ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
15," Es wird noch einmal deutlich gesagt werden: Dieser Aufbaufonds ist ein einmaliges, zeitlich und dem Zweck nach eng begrenztes Instrument",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
16," Aber es ist ein, wie ich finde, unabdingbarer Beitrag dazu, die Pandemie gemeinsam bewältigen zu können",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
17, Deshalb bitte ich Sie für dieses zentrale Vorhaben auch um Ihre Unterstützung,ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
18," Wir verhandeln in diesen Tagen mit der Kommission über die letzten Aspekte unseres nationalen Programms, das wir noch im April im Kabinett verabschieden werden",ID1921800100,19,2021-03-25,CDU/CSU,11001478,Zusatzpunkt 6 2021-03-25,Angela Merkel
